阿鼻地狱 a.bi.di.yu
坚贞不屈 jian.zhen.bu.qu
坚贞不渝 jian.zhen.bu.yu
谏争如流 jian.zheng.ru.liu
坚执不从 jian.zhi.bu.cong
见之不取 jian.zhi.bu.qu
见之不取思之千里 jian.zhi.bu.qu.si.zhi.qian.li
见智见仁 jian.zhi.jian.ren
剪烛西窗 jian.zhu.xi.chuang
尖嘴薄舌 jian.zui.bo.she
尖嘴猴腮 jian.zui.hou.sai
将错就错 jiang.cuo.jiu.cuo
江东父老 jiang.dong.fu.lao
将夺固与 jiang.duo.gu.yu
降格以求 jiang.ge.yi.qiu
将功补过 jiang.gong.bu.guo
将功赎罪 jiang.gong.shu.zui
将功折罪 jiang.gong.zhe.zui
讲古论今 jiang.gu.lun.jin
降贵纡尊 jiang.gui.yu.zun
姜桂之性 jiang.gui.zhi.xing
江海不逆小流 jiang.hai.bu.ni.xiao.liu
江汉朝宗 jiang.han.chao.zong
江河日下 jiang.he.ri.xia
江河行地 jiang.he.xing.di
江湖骗子 jiang.hu.pian.zi
将计就计 jiang.ji.jiu.ji
将机就机 jiang.ji.jiu.ji
讲经说法 jiang.jing.shuo.fa
浆酒霍肉 jiang.jiu.huo.rou
江郎才尽 jiang.lang.cai.jin
僵李代桃 jiang.li.dai.tao
将门虎子 jiang.men.hu.zi
匠门弃材 jiang.men.qi.cai
将门无犬子 jiang.men.wu.quan.zi
将门有将 jiang.men.you.jiang
将勤补拙 jiang.qin.bu.zhuo
江山好改 jiang.shan.hao.gai
江山好改秉性难移 jiang.shan.hao.gai.bing.xing.nan.yi
江山如故 jiang.shan.ru.gu
江山如画 jiang.shan.ru.hua
江山易改 jiang.shan.yi.gai
江山易改禀性难移 jiang.shan.yi.gai.bing.xing.nan.yi
江山易改秉性难移 jiang.shan.yi.gai.bing.xing.nan.yi
匠石运金 jiang.shi.yun.jin
姜太公钓鱼 jiang.tai.gong.diao.yu
姜太公钓鱼愿者上钩 jiang.tai.gong.diao.yu.yuan.zhe.shang.gou
江天一色 jiang.tian.yi.se
将相之器 jiang.xiang.zhi.qi
将心比心 jiang.xin.bi.xin
江心补漏 jiang.xin.bu.lou
匠心独运 jiang.xin.du.yun
将信将疑 jiang.xin.jiang.yi
降心相从 jiang.xin.xiang.cong
讲信修睦 jiang.xin.xiu.mu
江洋大盗 jiang.yang.da.dao
将遇良才 jiang.yu.liang.cai
将遇良材 jiang.yu.liang.cai
将欲取之 jiang.yu.qu.zhi
将欲取之必先与之 jiang.yu.qu.zhi.bi.xian.yu.zhi
降志辱身 jiang.zhi.ru.shen
强嘴硬牙 jiang.zui.ying.ya
降尊临卑 jiang.zun.lin.bei
降尊纡贵 jiang.zun.yu.gui
焦熬投石 jiao.ao.tou.shi
骄傲自满 jiao.ao.zi.man
交臂历指 jiao.bi.li.zhi
交臂失之 jiao.bi.shi.zhi
骄兵必败 jiao.bing.bi.bai
骄兵之计 jiao.bing.zhi.ji
脚不点地 jiao.bu.dian.di
浇淳散朴 jiao.chun.san.pu
交淡若水 jiao.dan.ruo.shui
较短量长 jiao.duan.liang.chang
校短量长 jiao.duan.liang.chang
教儿婴孩 jiao.er.ying.hai
椒焚桂折 jiao.fen.gui.zhe
浇风薄俗 jiao.feng.bao.su
教妇初来 jiao.fu.chu.lai
教妇初来教儿婴孩 jiao.fu.chu.lai.jiao.er.ying.hai
浇瓜之惠 jiao.gua.zhi.hui
搅海翻江 jiao.hai.fan.jiang
郊寒岛瘦 jiao.han.dao.shou
角户分门 jiao.hu.fen.men
矫矫不群 jiao.jiao.bu.qun
焦金流石 jiao.jin.liu.shi
绞尽脑汁 jiao.jin.nao.zhi
焦金烁石 jiao.jin.shuo.shi
燋金烁石 jiao.jin.shuo.shi
角巾私第 jiao.jin.si.di
交口称誉 jiao.kou.cheng.yu
交口称赞 jiao.kou.cheng.zan
交口赞誉 jiao.kou.zan.yu
叫苦不迭 jiao.ku.bu.die
叫苦连天 jiao.ku.lian.tian
交梨火枣 jiao.li.huo.zao
鹪鹩一枝 jiao.liao.yi.zhi
蛟龙得水 jiao.long.de.shui
蛟龙戏水 jiao.long.xi.shui
娇鸾雏凤 jiao.luan.chu.feng
焦眉苦脸 jiao.mei.ku.lian
教猱升木 jiao.nao.sheng.mu
娇皮嫩肉 jiao.pi.nen.rou
交浅言深 jiao.qian.yan.shen
矫情镇物 jiao.qing.zhen.wu
教然后之困 jiao.ran.hou.zhi.kun
矫揉造作 jiao.rou.zao.zuo
皎如日星 jiao.ru.ri.xing
矫若惊龙 jiao.ruo.jing.long
焦沙烂石 jiao.sha.lan.shi
骄奢淫逸 jiao.she.yin.yi
骄生惯养 jiao.sheng.guan.yang
娇生惯养 jiao.sheng.guan.yang
娇声娇气 jiao.sheng.jiao.qi
矫时慢物 jiao.shi.man.wu
脚踏两只船 jiao.ta.liang.zhi.chuan
脚踏实地 jiao.ta.shi.di
脚痛医脚 jiao.tong.yi.jiao
交头接耳 jiao.tou.jie.er
焦头烂额 jiao.tou.lan.e
狡兔三窟 jiao.tu.san.ku
狡兔死 jiao.tu.si
狡兔死良狗烹 jiao.tu.si.liang.gou.peng
挢枉过正 jiao.wang.guo.zheng
矫枉过正 jiao.wang.guo.zheng
教无常师 jiao.wu.chang.shi
较武论文 jiao.wu.lun.wen
交相辉映 jiao.xiang.hui.ying
娇小玲珑 jiao.xiao.ling.long
矫邪归正 jiao.xie.gui.zheng
焦心劳思 jiao.xin.lao.si
焦心热中 jiao.xin.re.zhong
教学相长 jiao.xue.xiang.zhang
皎阳似火 jiao.yang.si.huo
教亦多术 jiao.yi.duo.shu
教一识百 jiao.yi.shi.bai
胶柱鼓瑟 jiao.zhu.gu.se
胶柱调瑟 jiao.zhu.tiao.se
节哀顺变 jie.ai.shun.bian
桀骜不驯 jie.ao.bu.xun
捷报频传 jie.bao.pin.chuan
戒备森严 jie.bei.sen.yan
解兵释甲 jie.bing.shi.jia
结不解缘 jie.bu.jie.yuan
结草衔环 jie.cao.xian.huan
截长补短 jie.chang.bu.duan
竭诚相待 jie.cheng.xiang.dai
皆大欢喜 jie.da.huan.xi
借贷无门 jie.dai.wu.men
结党营私 jie.dang.ying.si
借刀杀人 jie.dao.sha.ren
揭地掀天 jie.di.xian.tian
接二连三 jie.er.lian.san
结发夫妻 jie.fa.fu.qi
解发佯狂 jie.fa.yang.kuang
借风使船 jie.feng.shi.chuan
接风洗尘 jie.feng.xi.chen
劫富济贫 jie.fu.ji.pin
揭竿而起 jie.gan.er.qi
羯鼓催花 jie.gu.cui.hua
借古讽今 jie.gu.feng.jin
借古喻今 jie.gu.yu.jin
截鹤续凫 jie.he.xu.fu
劫后余生 jie.hou.yu.sheng
借花献佛 jie.hua.xian.fo
嗟悔无及 jie.hui.wu.ji
洁己奉公 jie.ji.feng.gong
解甲归田 jie.jia.gui.tian
解甲投戈 jie.jia.tou.ge
借交报仇 jie.jiao.bao.chou
戒骄戒躁 jie.jiao.jie.zao
结结巴巴 jie.jie.ba.ba
竭尽全力 jie.jin.quan.li
截胫剖心 jie.jing.pou.xin
借酒浇愁 jie.jiu.jiao.chou
借客报仇 jie.ke.bao.chou
嗟来之食 jie.lai.zhi.shi
竭力虔心 jie.li.qian.xin
接连不断 jie.lian.bu.duan
解铃还需系铃人 jie.ling.hai.xu.ji.ling.ren
解铃系铃 jie.ling.xi.ling
借面吊丧 jie.mian.diao.sang
解民倒悬 jie.min.dao.xuan
解囊相助 jie.nang.xiang.zhu
借坡下驴 jie.po.xia.lv
阶前万里 jie.qian.wan.li
桀犬吠尧 jie.quan.fei.yao
截然不同 jie.ran.bu.tong
孑然一身 jie.ran.yi.shen
解人难得 jie.ren.nan.de
接三连四 jie.san.lian.si
戒奢宁俭 jie.she.ning.jian
洁身自爱 jie.shen.zi.ai
洁身自好 jie.shen.zi.hao
结绳而治 jie.sheng.er.zhi
借尸还魂 jie.shi.huan.hun
借书留真 jie.shu.liu.zhen
劫数难逃 jie.shu.nan.tao
结驷连骑 jie.si.lian.qi
街谈巷议 jie.tan.xiang.yi
借题发挥 jie.ti.fa.hui
街头巷尾 jie.tou.xiang.wei
节外生枝 jie.wai.sheng.zhi
阶下百诺 jie.xia.bai.nuo
解弦更张 jie.xian.geng.zhang
街巷阡陌 jie.xiang.qian.mo
解疑释惑 jie.yi.shi.huo
节衣缩食 jie.yi.suo.shi
解衣推食 jie.yi.tui.shi
解衣卸甲 jie.yi.xie.jia
解衣衣人 jie.yi.yi.ren
节用爱民 jie.yong.ai.min
节用裕民 jie.yong.yu.min
竭泽而渔 jie.ze.er.yu
竭泽焚薮 jie.ze.fen.sou
竭智尽力 jie.zhi.jin.li
竭智尽忠 jie.zhi.jin.zhong
截趾适屦 jie.zhi.shi.ju
截趾适履 jie.zhi.shi.lv
接踵比肩 jie.zhong.bi.jian
接踵而来 jie.zhong.er.lai
接踵而至 jie.zhong.er.zhi
借箸代筹 jie.zhu.dai.chou
捷足先得 jie.zu.xian.de
捷足先登 jie.zu.xian.deng
金榜题名 jin.bang.ti.ming
禁暴诛乱 jin.bao.zhu.luan
进本退末 jin.ben.tui.mo
金璧辉煌 jin.bi.hui.huang
金碧辉煌 jin.bi.hui.huang
今不如昔 jin.bu.ru.xi
矜才使气 jin.cai.shi.qi
金钗换酒 jin.chai.huan.jiu
金钗十二 jin.chai.shi.er
进谗害贤 jin.chan.hai.xian
金蝉脱壳 jin.chan.tuo.qiao
金城汤池 jin.cheng.tang.chi
金翅擘海 jin.chi.bo.hai
今愁古恨 jin.chou.gu.hen
锦簇花团 jin.cu.hua.tuan
进寸退尺 jin.cun.tui.chi
紧打慢敲 jin.da.man.qiao
进德修业 jin.de.xiu.ye
金貂换酒 jin.diao.huan.jiu
禁鼎一脔 jin.ding.yi.luan
尽多尽少 jin.duo.jin.shao
今非昔比 jin.fei.xi.bi
金风送爽 jin.feng.song.shuang
金风玉露 jin.feng.yu.lu
金刚怒目 jin.gang.nu.mu
金戈铁马 jin.ge.tie.ma
矜功不立 jin.gong.bu.li
矜功伐能 jin.gong.fa.neng
矜功伐善 jin.gong.fa.shan
矜功负气 jin.gong.fu.qi
禁攻寝兵 jin.gong.qin.bing
矜功恃宠 jin.gong.shi.chong
矜功自伐 jin.gong.zi.fa
金谷酒数 jin.gu.jiu.shu
金鼓连天 jin.gu.lian.tian
金鼓齐鸣 jin.gu.qi.ming
紧箍咒 jin.gu.zhou
津关险塞 jin.guan.xian.sai
金龟换酒 jin.gui.huan.jiu
金匮石室 jin.gui.shi.shi
巾帼奇才 jin.guo.qi.cai
巾帼须眉 jin.guo.xu.mei
巾帼英雄 jin.guo.ying.xiong
巾帼丈夫 jin.guo.zhang.fu
金壶墨汁 jin.hu.mo.zhi
襟怀磊落 jin.huai.lei.luo
襟怀洒落 jin.huai.sa.luo
襟怀坦白 jin.huai.tan.bai
尽欢而散 jin.huan.er.san
晋惠闻蛙 jin.hui.wen.wa
近火先焦 jin.huo.xian.jiao
金鸡独立 jin.ji.du.li
金鸡消息 jin.ji.xiao.xi
矜己自饰 jin.ji.zi.shi
金枷玉锁 jin.jia.yu.suo
襟江带湖 jin.jiang.dai.hu
金浆玉醴 jin.jiang.yu.li
金浆玉液 jin.jiang.yu.ye
斤斤计较 jin.jin.ji.jiao
津津乐道 jin.jin.le.dao
金尽裘弊 jin.jin.qiu.bi
金尽裘敝 jin.jin.qiu.bi
津津有味 jin.jin.you.wei
斤斤自守 jin.jin.zi.shou
金精玉液 jin.jing.yu.ye
矜纠收缭 jin.jiu.shou.liao
金科玉律 jin.ke.yu.lv
金科玉条 jin.ke.yu.tiao
金口木舌 jin.kou.mu.she
金口玉牙 jin.kou.yu.ya
金口玉言 jin.kou.yu.yan
金兰之契 jin.lan.zhi.qi
金兰之友 jin.lan.zhi.you
尽力而为 jin.li.er.wei
紧锣密鼓 jin.luo.mi.gu
进旅退旅 jin.lv.tui.lv
金马玉堂 jin.ma.yu.tang
谨毛失貌 jin.mao.shi.mao
金迷纸醉 jin.mi.zhi.zui
矜名妒能 jin.ming.du.neng
矜名嫉能 jin.ming.ji.neng
近墨者黑 jin.mo.zhe.hei
锦囊佳句 jin.nang.jia.ju
锦囊妙计 jin.nang.miao.ji
金瓯无缺 jin.ou.wu.que
筋疲力竭 jin.pi.li.jie
筋疲力尽 jin.pi.li.jin
矜贫救厄 jin.pin.jiu.e
矜贫恤独 jin.pin.xu.du
金瓶落井 jin.ping.luo.jing
尽其所长 jin.qi.suo.chang
近亲繁殖 jin.qin.fan.zhi
禁情割欲 jin.qing.ge.yu
尽人皆知 jin.ren.jie.zhi
金人三缄 jin.ren.san.jian
金人之缄 jin.ren.zhi.jian
仅容旋马 jin.rong.xuan.ma
尽入彀中 jin.ru.gou.zhong
尽如人意 jin.ru.ren.yi
进锐退速 jin.rui.tui.su
浸润之谮 jin.run.zhi.zen
噤若寒蝉 jin.ruo.han.chan
锦瑟华年 jin.se.hua.nian
锦瑟年华 jin.se.nian.hua
尽善尽美 jin.shan.jin.mei
锦上添花 jin.shang.tian.hua
金舌弊口 jin.she.bi.kou
禁舍开塞 jin.she.kai.sai
进身之阶 jin.shen.zhi.jie
金声玉润 jin.sheng.yu.run
金声玉振 jin.sheng.yu.zhen
金石良言 jin.shi.liang.yan
金石丝竹 jin.shi.si.zhu
金石为开 jin.shi.wei.kai
金石之策 jin.shi.zhi.ce
金石之计 jin.shi.zhi.ji
金石之坚 jin.shi.zhi.jian
金石之交 jin.shi.zhi.jiao
金石之言 jin.shi.zhi.yan
今是昨非 jin.shi.zuo.fei
近水楼台 jin.shui.lou.tai
近水楼台先得月 jin.shui.lou.tai.xian.de.yue
进思尽忠 jin.si.jin.zhong
进思尽忠退思补过 jin.si.jin.zhong.tui.si.bu.guo
尽态极妍 jin.tai.ji.yan
金汤之固 jin.tang.zhi.gu
金题玉躞 jin.ti.yu.xie
锦天绣地 jin.tian.xiu.di
金童玉女 jin.tong.yu.nv
进退出处 jin.tui.chu.chu
进退存亡 jin.tui.cun.wang
进退两难 jin.tui.liang.nan
进退失据 jin.tui.shi.ju
进退维谷 jin.tui.wei.gu
进退无据 jin.tui.wu.ju
进退无路 jin.tui.wu.lu
进退无门 jin.tui.wu.men
进退有常 jin.tui.you.chang
禁网疏阔 jin.wang.shu.kuo
金吾不禁 jin.wu.bu.jin
金屋藏娇 jin.wu.cang.jiao
金屋贮娇 jin.wu.zhu.jiao
金无足赤 jin.wu.zu.chi
金无足赤人无完人 jin.wu.zu.chi.ren.wu.wan.ren
今昔之感 jin.xi.zhi.gan
进贤任能 jin.xian.ren.neng
近乡情怯 jin.xiang.qing.qie
金相玉质 jin.xiang.yu.zhi
谨小慎微 jin.xiao.shen.wei
尽心竭力 jin.xin.jie.li
尽心尽力 jin.xin.jin.li
锦心绣肠 jin.xin.xiu.chang
锦心绣腹 jin.xin.xiu.fu
锦心绣口 jin.xin.xiu.kou
紧行无好步 jin.xing.wu.hao.bu
锦绣肝肠 jin.xiu.gan.chang
锦绣河山 jin.xiu.he.shan
锦绣江山 jin.xiu.jiang.shan
锦绣前程 jin.xiu.qian.cheng
锦绣山河 jin.xiu.shan.he
谨言慎行 jin.yan.shen.xing
晋阳之甲 jin.yang.zhi.jia
仅以身免 jin.yi.shen.mian
锦衣行昼 jin.yi.xing.zhou
锦衣玉食 jin.yi.yu.shi
金印紫绶 jin.yin.zi.shou
晋用楚材 jin.yong.chu.cai
金友玉昆 jin.you.yu.kun
金玉锦绣 jin.yu.jin.xiu
金玉良言 jin.yu.liang.yan
金玉良缘 jin.yu.liang.yuan
金玉满堂 jin.yu.man.tang
金玉其外 jin.yu.qi.wai
金玉其外败絮其中 jin.yu.qi.wai.bai.xu.qi.zhong
金玉其质 jin.yu.qi.zhi
矜愚饰智 jin.yu.shi.zhi
金玉之言 jin.yu.zhi.yan
今月古月 jin.yue.gu.yue
近悦远来 jin.yue.yuan.lai
近在眉睫 jin.zai.mei.jie
近在咫尺 jin.zai.zhi.chi
金章紫绶 jin.zhang.zi.shou
今朝有酒今朝醉 jin.zhao.you.jiu.jin.zhao.zui
金针度人 jin.zhen.du.ren
矜智负能 jin.zhi.fu.neng
禁止令行 jin.zhi.ling.xing
金枝玉叶 jin.zhi.yu.ye
尽忠报国 jin.zhong.bao.guo
尽忠竭力 jin.zhong.jie.li
近朱者赤 jin.zhu.zhe.chi
近朱者赤近墨者黑 jin.zhu.zhe.chi.jin.mo.zhe.hei
金字招牌 jin.zi.zhao.pai
经邦论道 jing.bang.lun.dao
经帮纬国 jing.bang.wei.guo
精兵简政 jing.bing.jian.zheng
精兵强将 jing.bing.qiang.jiang
精彩逼人 jing.cai.bi.ren
惊才风逸 jing.cai.feng.yi
精采秀发 jing.cai.xiu.fa
荆钗布裙 jing.chai.bu.qun
敬陈管见 jing.chen.guan.jian
精诚所至 jing.cheng.suo.zhi
精诚所至金石为开 jing.cheng.suo.zhi.jin.shi.wei.kai
精诚团结 jing.cheng.tuan.jie
精打细算 jing.da.xi.suan
井底蛤蟆 jing.di.ha.ma
井底之蛙 jing.di.zhi.wa
精雕细刻 jing.diao.xi.ke
惊愕失色 jing.e.shi.se
敬而远之 jing.er.yuan.zhi
精耕细作 jing.geng.xi.zuo
敬恭桑梓 jing.gong.sang.zi
惊弓之鸟 jing.gong.zhi.niao
精贯白日 jing.guan.bai.ri
静观默察 jing.guan.mo.cha
经国大业 jing.guo.da.ye
经国之才 jing.guo.zhi.cai
惊鸿艳影 jing.hong.yan.ying
镜花水月 jing.hua.shui.yue
惊惶失措 jing.huang.shi.cuo
惊慌失措 jing.huang.shi.cuo
惊惶万状 jing.huang.wan.zhuang
惊惶无措 jing.huang.wu.cuo
惊魂动魄 jing.hun.dong.po
惊魂未定 jing.hun.wei.ding
荆棘丛生 jing.ji.cong.sheng
荆棘塞途 jing.ji.sai.tu
静极思动 jing.ji.si.dong
荆棘铜驼 jing.ji.tong.tuo
荆棘载途 jing.ji.zai.tu
经济之才 jing.ji.zhi.cai
精金百炼 jing.jin.bai.lian
精金良玉 jing.jin.liang.yu
精金美玉 jing.jin.mei.yu
竞今疏古 jing.jin.shu.gu
精进勇猛 jing.jin.yong.meng
兢兢业业 jing.jing.ye.ye
井井有条 jing.jing.you.tiao
井井有序 jing.jing.you.xu
兢兢战战 jing.jing.zhan.zhan
经久不息 jing.jiu.bu.xi
井臼亲操 jing.jiu.qin.cao
惊恐失色 jing.kong.shi.se
惊恐万状 jing.kong.wan.zhuang
警愦觉聋 jing.kui.jue.long
敬老慈幼 jing.lao.ci.you
敬老怜贫 jing.lao.lian.pin
敬老恤贫 jing.lao.xu.pin
敬老尊贤 jing.lao.zun.xian
精力充沛 jing.li.chong.pei
镜里观花 jing.li.guan.hua
经纶满腹 jing.lun.man.fu
精美绝伦 jing.mei.jue.lun
精妙绝伦 jing.miao.jue.lun
精明能干 jing.ming.neng.gan
精明强干 jing.ming.qiang.gan
经明行修 jing.ming.xing.xiu
经年累月 jing.nian.lei.yue
精疲力竭 jing.pi.li.jie
精疲力尽 jing.pi.li.jin
镜破钗分 jing.po.chai.fen
旌旗蔽日 jing.qi.bi.ri
旌旗卷舒 jing.qi.juan.shu
泾清渭浊 jing.qing.wei.zhuo
径情直遂 jing.qing.zhi.sui
径情直行 jing.qing.zhi.xing
经丘寻壑 jing.qiu.xun.he
憬然有悟 jing.ran.you.wu
井然有序 jing.ran.you.xu
荆人涉澭 jing.ren.she.yong
静如处女 jing.ru.chu.nv
静如处女动如脱兔 jing.ru.chu.nv.dong.ru.tuo.tu
敬如上宾 jing.ru.shang.bin
精锐之师 jing.rui.zhi.shi
静若处子 jing.ruo.chu.zi
静若处子动若脱兔 jing.ruo.chu.zi.dong.ruo.tuo.tu
敬若神明 jing.ruo.shen.ming
荆山之玉 jing.shan.zhi.yu
敬上爱下 jing.shang.ai.xia
惊蛇入草 jing.she.ru.cao
精神抖擞 jing.shen.dou.sou
精神焕发 jing.shen.huan.fa
精神恍惚 jing.shen.huang.hu
精神满腹 jing.shen.man.fu
景升豚犬 jing.sheng.tun.quan
经史百子 jing.shi.bai.zi
惊师动众 jing.shi.dong.zhong
惊世骇俗 jing.shi.hai.su
经世之才 jing.shi.zhi.cai
井水不犯河水 jing.shui.bu.fan.he.shui
惊涛骇浪 jing.tao.hai.lang
惊天地 jing.tian.di
惊天地泣鬼神 jing.tian.di.qi.gui.shen
惊天动地 jing.tian.dong.di
荆天棘地 jing.tian.ji.di
经天纬地 jing.tian.wei.di
鲸吞蚕食 jing.tun.can.shi
井蛙之见 jing.wa.zhi.jian
泾渭不分 jing.wei.bu.fen
泾渭分明 jing.wei.fen.ming
精卫填海 jing.wei.tian.hai
经纬天下 jing.wei.tian.xia
经纬万端 jing.wei.wan.duan
经文纬武 jing.wen.wei.wu
惊喜交集 jing.xi.jiao.ji
惊喜交加 jing.xi.jiao.jia
鲸吸牛饮 jing.xi.niu.yin
惊喜若狂 jing.xi.ruo.kuang
惊喜欲狂 jing.xi.yu.kuang
敬贤礼士 jing.xian.li.shi
敬小慎微 jing.xiao.shen.wei
敬谢不敏 jing.xie.bu.min
惊心悼胆 jing.xin.dao.dan
惊心动魄 jing.xin.dong.po
景星凤皇 jing.xing.feng.huang
景星麟凤 jing.xing.lin.feng
景星庆云 jing.xing.qing.yun
静言令色 jing.yan.ling.se
靖言庸违 jing.yan.yong.wei
经验之谈 jing.yan.zhi.tan
敬业乐群 jing.ye.le.qun
精益求精 jing.yi.qiu.jing
经一事 jing.yi.shi
经一事长一智 jing.yi.shi.zhang.yi.zhi
径一周三 jing.yi.zhou.san
惊猿脱兔 jing.yuan.tuo.tu
京兆画眉 jing.zhao.hua.mei
京兆眉妩 jing.zhao.mei.wu
荆榛满目 jing.zhen.man.mu
精忠报国 jing.zhong.bao.guo
敬终慎始 jing.zhong.shen.shi
井中视星 jing.zhong.shi.xing
泾浊渭清 jing.zhuo.wei.qing
迥不犹人 jiong.bu.you.ren
炯炯有神 jiong.jiong.you.shen
迥然不群 jiong.ran.bu.qun
迥然不同 jiong.ran.bu.tong
灸艾分痛 jiu.ai.fen.tong
久安长治 jiu.an.chang.zhi
九变十化 jiu.bian.shi.hua
久别重逢 jiu.bie.chong.feng
久病成医 jiu.bing.cheng.yi
旧病复发 jiu.bing.fu.fa
酒病花愁 jiu.bing.hua.chou
纠缠不清 jiu.chan.bu.qing
鸠车竹马 jiu.che.zhu.ma
酒池肉林 jiu.chi.rou.lin
旧仇宿怨 jiu.chou.su.yuan
旧愁新恨 jiu.chou.xin.hen
臼杵之交 jiu.chu.zhi.jiao
旧地重游 jiu.di.chong.you
就地取材 jiu.di.qu.cai
就地正法 jiu.di.zheng.fa
旧调重弹 jiu.diao.chong.tan
九鼎不足为重 jiu.ding.bu.zu.wei.zhong
九鼎大吕 jiu.ding.da.lv
九鼎一丝 jiu.ding.yi.si
久而久之 jiu.er.jiu.zhi
救焚投薪 jiu.fen.tou.xin
救焚益薪 jiu.fen.yi.xin
救焚拯溺 jiu.fen.zheng.ni
久负盛名 jiu.fu.sheng.ming
九垓八埏 jiu.gai.ba.shan
鸠工庀材 jiu.gong.pi.cai
久惯牢成 jiu.guan.lao.cheng
救过补阙 jiu.guo.bu.que
酒酣耳热 jiu.han.er.re
久旱逢甘雨 jiu.han.feng.gan.yu
九行八业 jiu.hang.ba.ye
纠合之众 jiu.he.zhi.zhong
旧恨新仇 jiu.hen.xin.chou
旧恨新愁 jiu.hen.xin.chou
酒后失言 jiu.hou.shi.yan
酒后无德 jiu.hou.wu.de
旧话重提 jiu.hua.chong.ti
久怀慕蔺 jiu.huai.mu.lin
九回肠 jiu.hui.chang
九回肠断 jiu.hui.chang.duan
救火投薪 jiu.huo.tou.xin
救火扬沸 jiu.huo.yang.fei
鸠集凤池 jiu.ji.feng.chi
救急扶伤 jiu.ji.fu.shang
久假不归 jiu.jia.bu.gui
久经风霜 jiu.jing.feng.shuang
救经引足 jiu.jing.yin.zu
九九归一 jiu.jiu.gui.yi
赳赳武夫 jiu.jiu.wu.fu
久居人下 jiu.ju.ren.xia
救苦救难 jiu.ku.jiu.nan
救困扶危 jiu.kun.fu.wei
酒阑人散 jiu.lan.ren.san
九烈三贞 jiu.lie.san.zhen
九流宾客 jiu.liu.bin.ke
九流人物 jiu.liu.ren.wu
九流三教 jiu.liu.san.jiao
九流十家 jiu.liu.shi.jia
酒绿灯红 jiu.lv.deng.hong
救民水火 jiu.min.shui.huo
救民于水火 jiu.min.yu.shui.huo
酒囊饭袋 jiu.nang.fan.dai
旧念复萌 jiu.nian.fu.meng
九年之储 jiu.nian.zhi.chu
九年之蓄 jiu.nian.zhi.xu
九牛二虎之力 jiu.niu.er.hu.zhi.li
九牛拉不转 jiu.niu.la.bu.zhuan
九牛一毫 jiu.niu.yi.hao
九牛一毛 jiu.niu.yi.mao
旧瓶装新酒 jiu.ping.zhuang.xin.jiu
九曲回肠 jiu.qu.hui.chang
九泉之下 jiu.quan.zhi.xia
救人一命 jiu.ren.yi.ming
救人一命胜造七级浮屠 jiu.ren.yi.ming.sheng.zao.qi.ji.fu.tu
酒肉朋友 jiu.rou.peng.you
酒肉兄弟 jiu.rou.xiong.di
酒入舌出 jiu.ru.she.chu
九儒十丐 jiu.ru.shi.gai
酒色财气 jiu.se.cai.qi
酒色之徒 jiu.se.zhi.tu
酒食地狱 jiu.shi.di.yu
救世济民 jiu.shi.ji.min
就事论事 jiu.shi.lun.shi
酒食征逐 jiu.shi.zheng.zhu
九世之仇 jiu.shi.zhi.chou
九死不悔 jiu.si.bu.hui
救死扶伤 jiu.si.fu.shang
九死未悔 jiu.si.wei.hui
九死一生 jiu.si.yi.sheng
酒酸不售 jiu.suan.bu.shou
旧态复萌 jiu.tai.fu.meng
就汤下面 jiu.tang.xia.mian
九天九地 jiu.tian.jiu.di
九天揽月 jiu.tian.lan.yue
九天仙女 jiu.tian.xian.nv
臼头深目 jiu.tou.shen.mu
救亡图存 jiu.wang.tu.cun
久闻大名 jiu.wen.da.ming
九五之尊 jiu.wu.zhi.zun
九霄云外 jiu.xiao.yun.wai
疚心疾首 jiu.xin.ji.shou
鸠形鹄面 jiu.xing.hu.mian
就虚避实 jiu.xu.bi.shi
久悬不决 jiu.xuan.bu.jue
久要不忘 jiu.yao.bu.wang
酒有别肠 jiu.you.bie.chang
咎有应得 jiu.you.ying.de
咎由自取 jiu.you.zi.qu
酒余茶后 jiu.yu.cha.hou
旧雨重逢 jiu.yu.chong.feng
旧雨今雨 jiu.yu.jin.yu
九原可作 jiu.yuan.ke.zuo
臼灶生蛙 jiu.zao.sheng.wa
鸠占鹊巢 jiu.zhan.que.chao
九折臂 jiu.zhe.bi
就正有道 jiu.zheng.you.dao
九洲四海 jiu.zhou.si.hai
九转功成 jiu.zhuan.gong.cheng
酒足饭饱 jiu.zu.fan.bao
酒醉饭饱 jiu.zui.fan.bao
据鞍读书 ju.an.du.shu
举案齐眉 ju.an.qi.mei
居安思危 ju.an.si.wei
居安资深 ju.an.zi.shen
居不重席 ju.bu.chong.xi
矩步方行 ju.bu.fang.xing
举步生风 ju.bu.sheng.feng
举不胜举 ju.bu.sheng.ju
驹齿未落 ju.chi.wei.luo
驹窗电逝 ju.chuang.dian.shi
局促不安 ju.cu.bu.an
举措不当 ju.cuo.bu.dang
举措失当 ju.cuo.shi.dang
居大不易 ju.da.bu.yi
举鼎拔山 ju.ding.ba.shan
举鼎绝膑 ju.ding.jue.bin
居高临下 ju.gao.lin.xia
据高临下 ju.gao.lin.xia
鞠躬屏气 ju.gong.bing.qi
鞠躬尽瘁 ju.gong.jin.cui
鞠躬尽瘁死而后已 ju.gong.jin.cui.si.er.hou.yi
居功自傲 ju.gong.zi.ao
居官守法 ju.guan.shou.fa
